,,,,,,,,,,,,,,
,Gluten,Crustaceas,Egg,Fish,Peanuts,Soybeans,Nuts,Milk,Sulphites,Celery,Mustard,Sesame,Clams,Lupin
WITH SWEET POTATO FRIES,,,,,,Contains,,Contains,,,,,,
OLD FASHIONED BURGER,Contains,,Contains,,,Contains,,Contains,,Contains,Contains,Contains,,
STUFFED CHEDDAR BURGER,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,Contains,,
CLASSIC BURGER,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,Contains,,
FRENCH DIP CHEESEBURGER,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
SMOKEHOUSE BBQ BURGER,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,
MUSHROOM BURGER,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,Contains,,
AMERICANA CHEESEBURGER,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,
MACARONI AND CHEESE BURGER,Contains,,Contains,,,Contains,,Contains,,Contains,,Contains,,
BACON-BACON CHEESEBURGER,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,
VEGGIE BURGER,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
SPICY CRISPY CHICKEN SANDWICH - BUFFALO SAUCE,Contains,,Contains,Contains,,Contains,,Contains,Contains,,Contains,Contains,,
SPICY CRISPY CHICKEN SANDWICH - CHIPOTLE MAYO,Contains,,Contains,,,Contains,,Contains,,,Contains,Contains,,
FACTORY TURKEY BURGER,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
SPECIALTIES,,,,,,,,,,,,,,
THAI COCONUT-LIME CHICKEN,Contains,,,Contains,May Contain,Contains,Contains,Contains,Contains,,Contains,Contains,,
CRISPY PINEAPPLE CHICKEN AND SHRIMP,Contains,Contains,,Contains,,Contains,,Contains,Contains,Contains,,Contains,,
CAULIFLOWER TACOS,Contains,,Contains,,May Contain,Contains,May Contain,Contains,Contains,Contains,Contains,Contains,,
CHICKEN PARMESAN “PIZZA STYLE”,Contains,,Contains,,,Contains,May Contain,Contains,,,,,,
TRUFFLE-HONEY CHICKEN,Contains,,,,,,,Contains,,,,,,May Contain
CHICKEN ENCHILADAS,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
CAJUN CHICKEN LITTLES,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,May Contain
SHEPHERD'S PIE,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,May Contain
BAJA CHICKEN TACOS,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,
FISH TACOS - GRILLED,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,
FISH TACOS - CRISPY TEMPURA,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,
GRILLED STEAK TACOS,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,
FACTORY BURRITO GRANDE,Contains,,Contains,,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
FAMOUS FACTORY MEATLOAF,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,May Contain
CHICKEN MADEIRA,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,May Contain
CHICKEN BELLAGIO,Contains,,Contains,,,Contains,,Contains,,Contains,,,,
CLASSIC ITALIAN TRIO,Contains,,Contains,,,Contains,,Contains,,Contains,,,,
CHICKEN & BISCUITS,Contains,,,,,Contains,,Contains,May Contain,Contains,,,,May Contain
CRUSTED CHICKEN ROMANO,Contains,,Contains,,,,,Contains,,,,,,
ORANGE CHICKEN,Contains,,,,,Contains,,,Contains,,,Contains,,
PARMESAN-HERB CRUSTED CHICKEN,Contains,,Contains,,,Contains,,Contains,May Contain,Contains,,,,May Contain
CRISPY CHICKEN COSTOLETTA,Contains,,Contains,Contains,,Contains,,Contains,May Contain,Contains,,,,May Contain
CHICKEN PICCATA,Contains,,Contains,Contains,,Contains,,Contains,May Contain,Contains,,,,
SPICY CASHEW CHICKEN,Contains,,,,,Contains,Contains,,Contains,,,Contains,,
TERIYAKI CHICKEN,Contains,,,,,Contains,,,Contains,,,Contains,,
BANG-BANG CHICKEN AND SHRIMP,Contains,Contains,,May Contain,Contains,Contains,May Contain,Contains,Contains,,Contains,Contains,,
CAJUN JAMBALAYA,Contains,Contains,,Contains,,Contains,,Contains,,Contains,,,Contains,
PASTA,,,,,,,,,,,,,,
PASTA NAPOLETANA,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
TOMATO BASIL PASTA,Contains,,Contains,,,Contains,,Contains,Contains,,Contains,,,
FETTUCCINI ALFREDO,Contains,,Contains,,,Contains,,Contains,,,,,,
FETTUCCINI ALFREDO WITH CHICKEN,Contains,,Contains,,,Contains,,Contains,,,,,,
PASTA CARBONARA,Contains,,Contains,,,Contains,,Contains,May Contain,Contains,,,,
PASTA CARBONARA WITH CHICKEN,Contains,,Contains,,,Contains,,Contains,May Contain,Contains,,,,
BAKED RIGATONI,Contains,,Contains,,,Contains,,Contains,,Contains,,,,
CHICKEN & BROCCOLI PASTA,Contains,,Contains,,,Contains,May Contain,Contains,May Contain,Contains,,,,
FOUR CHEESE PASTA,Contains,,Contains,,,,,Contains,,,,,,
FOUR CHEESE PASTA WITH CHICKEN,Contains,,Contains,,,,,Contains,,,,,,
SPAGHETTI AND MEATBALLS,Contains,,Contains,,,,,Contains,,Contains,Contains,,,
EVELYN'S FAVORITE PASTA,Contains,,Contains,,,Contains,May Contain,Contains,May Contain,,,,,
LOUISIANA CHICKEN PASTA,Contains,,Contains,Contains,,Contains,,Contains,May Contain,,,,,
PASTA DA VINCI,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,
FARFALLE WITH CHICKEN AND ROASTED GARLIC,Contains,,Contains,,,Contains,,Contains,,Contains,,,,
SPICY CHICKEN CHIPOTLE PASTA,Contains,,Contains,,,,,Contains,,,,,,
BISTRO SHRIMP PASTA,Contains,Contains,Contains,Contains,,Contains,,Contains,May Contain,Contains,,,,
SHRIMP WITH CAPELLINI,Contains,Contains,Contains,May Contain,,,,,May Contain,,,,,
FISH & SEAFOOD,,,,,,,,,,,,,,
FISH & CHIPS,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,
FRIED SHRIMP PLATTER,Contains,Contains,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,
SHRIMP AND CHICKEN GUMBO,Contains,Contains,,Contains,,Contains,,Contains,May Contain,Contains,,,Contains,
SHRIMP SCAMPI,Contains,Contains,Contains,Contains,,Contains,,Contains,May Contain,Contains,,,,
JAMAICAN BLACK PEPPER CHICKEN,Contains,,,Contains,,Contains,,Contains,Contains,Contains,,,,
JAMAICAN BLACK PEPPER SHRIMP,Contains,Contains,,Contains,,Contains,,Contains,Contains,Contains,,,,
JAMAICAN BLACK PEPPER SHRIMP AND CHICKEN COMBO,Contains,Contains,,Contains,,Contains,,Contains,Contains,Contains,,,,
FRESH GRILLED SALMON,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,
HERB CRUSTED FILET OF SALMON,,,,Contains,,Contains,,Contains,Contains,Contains,Contains,,,May Contain
MISO SALMON,,,,Contains,,Contains,,Contains,May Contain,,,,,
CAROLINA GRILLED SALMON,Contains,,,Contains,,Contains,,Contains,May Contain,Contains,Contains,,,
FACTORY COMBINATIONS,,,,,,,,,,,,,,
SHRIMP SCAMPI AND STEAK DIANE,Contains,Contains,,Contains,,Contains,,Contains,Contains,Contains,Contains,,,May Contain
CHICKEN MADEIRA AND STEAK DIANE,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,May Contain
STEAK DIANE AND HERB CRUSTED SALMON,Contains,,,Contains,,Contains,,Contains,Contains,Contains,Contains,,,May Contain
STEAKS,,,,,,,,,,,,,,
CARNE ASADA STEAK,Contains,,,Contains,,Contains,,Contains,May Contain,,,,,
CHARGRILLED NEW YORK STEAK,Contains,,,,,Contains,,Contains,,,,,,May Contain
STEAK DIANE,Contains,,,,,Contains,,Contains,Contains,Contains,Contains,,,May Contain
HIBACHI STEAK,Contains,,,,,Contains,,Contains,Contains,,Contains,Contains,,May Contain
GRILLED RIB-EYE STEAK,Contains,,,,,Contains,,Contains,,,,,,May Contain
FILET MIGNON,Contains,,,,,Contains,,Contains,,,,,,May Contain
SIDE DISHES,,,,,,,,,,,,,,
FRENCH FRIES,,,,,,Contains,,,,Contains,,,,
CHEESE FRIES,Contains,,,,,Contains,,Contains,,Contains,,,,
FRESH GREEN BEANS,,,,,,,,Contains,,,,,,
FRESH CORN,,,,,,,,Contains,May Contain,,,,,
SWEET POTATO FRIES,,,,,,Contains,,Contains,,,,,,
FRESH SAUTEED SPINACH,,,,,,,,Contains,,,,,,
OVEN ROASTED BROCCOLI,,,,,,,,Contains,,,,,,
GRILLED ASPARAGUS,,,,,,,,Contains,,,,,,
MACARONI & CHEESE,Contains,,Contains,,,Contains,May Contain,Contains,,,,,,
MASHED POTATOES,,,,,,,,Contains,,,,,,May Contain
SALADS,,,,,,,,,,,,,,
CAESAR SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,,Contains,,,
CAESAR SALAD WITH CHICKEN,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,,Contains,,,
VEGAN COBB SALAD,Contains,,May Contain,,May Contain,Contains,Contains,,Contains,,Contains,,,
THAI CHICKEN SALAD,Contains,,,Contains,Contains,Contains,Contains,,Contains,,Contains,Contains,,
SHEILA'S CHICKEN & AVOCADO SALAD,Contains,,,,Contains,Contains,Contains,Contains,Contains,,Contains,Contains,,
CHINESE CHICKEN SALAD,Contains,May Contain,Contains,,,Contains,Contains,Contains,Contains,,Contains,Contains,May Contain,
LUAU SALAD,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,Contains,Contains,,
BARBEQUE RANCH CHICKEN SALAD,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,
SANTA FE SALAD,Contains,,Contains,,Contains,Contains,,Contains,Contains,Contains,Contains,,,
COBB SALAD,Contains,,Contains,,,Contains,,Contains,Contains,,Contains,,,
ALMOND-CRUSTED SALMON SALAD,Contains,,Contains,Contains,,Contains,Contains,Contains,Contains,,Contains,,,
CALIFORNIA GUCAMOLE SALAD,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
SALAD WITH FRENCH FRIES,,,,,,Contains,,,,Contains,,,,
SALAD WITH TOSSED GREEN SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
SALAD WITH SWEET POTATO FRIES,,,,,,Contains,,Contains,,,,,,
RENEE'S SPECIAL,,,,,,,,,,,,,,
